strategy,rdate,fsym_id,security,bbg_ticker
US,11/30/2021,B19ST9-R,BBG000BNBDC2,LLY US
US,11/30/2021,B6V0BZ-R,BBG000BCVG28,POOL US
US,11/30/2021,BDQDB8-R,BBG000NV1KK7,DG US
US,11/30/2021,BK6JKQ-R,BBG000BVDLH9,TMO US
US,11/30/2021,BRWKF0-R,BBG000BLXZN1,TSCO US
US,11/30/2021,BYJYYM-R,BBG000BVMGF2,ALL US
US,11/30/2021,BYNP13-R,BBG000DQTXY6,DHI US
US,11/30/2021,CGGG4R-R,BBG000BPWXK1,NEM US
US,11/30/2021,CHKL7S-R,BBG000BNDN65,LOW US
US,11/30/2021,CY644B-R,BBG000BLZRJ2,MS US
US,11/30/2021,CZBYFY-R,BBG000BMTFR4,KLAC US
US,11/30/2021,DG6SCF-R,BBG000BMZ7P7,KSU US
US,11/30/2021,DTKPJP-R,BBG000B9XYV2,AMT US
US,11/30/2021,F05QG0-R,BBG000P458P3,DPZ US
US,11/30/2021,F07Q7W-R,BBG000H3YXF8,CTAS US
US,11/30/2021,F1DFCD-R,BBG000BR54L0,PHM US
US,11/30/2021,F1DNTM-R,BBG000BS73J1,RJF US
US,11/30/2021,FH1NKL-R,BBG000BN5HF7,LEN US
US,11/30/2021,FJ8GT6-R,BBG000BND699,NXPI US
US,11/30/2021,G3949H-R,BBG000QH56C1,CBOE US
US,11/30/2021,G4GB6B-R,BBG000BV4DR6,TER US
US,11/30/2021,GC9695-R,BBG000BSXQV7,SHW US
US,11/30/2021,GGPVTB-R,BBG000CH5208,UNH US
US,11/30/2021,GRMY8C-R,BBG000BH3JF8,DHR US
US,11/30/2021,H69CWS-R,BBG002PHSYX9,FANG US
US,11/30/2021,HP58X9-R,BBG000F7RCJ1,AAP US
US,11/30/2021,HQ4DBK-R,BBG000BQLTW7,ORCL US
US,11/30/2021,HSF35X-R,BBG000BNNKG9,MAS US
US,11/30/2021,J70N5J-R,BBG000BQVTF5,PCAR US
US,11/30/2021,J70ZTV-R,BBG000BH1NH9,DE US
US,11/30/2021,J994MP-R,BBG000H8TVT2,TGT US
US,11/30/2021,JKDM7P-R,BBG000BMFFQ0,J US
US,11/30/2021,JLJ0VZ-R,BBG000C6CFJ5,GS US
US,11/30/2021,KB2QBM-R,BBG000CVWGS6,ATVI US
US,11/30/2021,KK1YRK-R,BBG000CX0P89,GPN US
US,11/30/2021,KYCY91-R,BBG000BLGFJ9,LHX US
US,11/30/2021,L6CPTK-R,BBG000BH5DV1,INTU US
US,11/30/2021,LQ766T-R,BBG00GVR8YQ9,LIN US
US,11/30/2021,LTN366-R,BBG00KXRCDP0,CI US
US,11/30/2021,LTP0Z2-R,BBG000BGJRC8,CSX US
US,11/30/2021,M0H6M5-R,BBG000BBPFB9,AMAT US
US,11/30/2021,MDYC2K-R,BBG000F86GP6,MCO US
US,11/30/2021,MKJ8WW-R,BBG000RTDY25,MSCI US
US,11/30/2021,MS57L1-R,BBG000KHWT55,HPQ US
US,11/30/2021,P8R3C2-R,BBG000BPH459,MSFT US
US,11/30/2021,PRGQ6L-R,BBG000BP1Q11,SPGI US
US,11/30/2021,PZ917X-R,BBG000BLKK03,HUM US
US,11/30/2021,R2J99W-R,BBG000BMY992,KR US
US,11/30/2021,RT2ZSJ-R,BBG000BNFLM9,LRCX US
US,11/30/2021,S7P87W-R,BBG000BBL8V7,PWR US
US,11/30/2021,SHNDLT-R,BBG000B9ZXB4,ABT US
US,11/30/2021,T6CPQP-R,BBG000CHSS88,ODFL US
US,11/30/2021,TMTGLT-R,BBG000B9XG87,AME US
US,11/30/2021,TW6KKV-R,BBG0039320N9,ZTS US
US,11/30/2021,V2H5QG-R,BBG000B9YJ35,APH US
US,11/30/2021,V5WMVF-R,BBG000BHCP19,MCHP US
US,11/30/2021,VFT0VQ-R,BBG000BDDNH5,BLL US
US,11/30/2021,VNMTTH-R,BBG000C5HS04,NKE US
US,11/30/2021,VNRDMV-R,BBG000BVMPN3,TROW US
US,11/30/2021,VT66G5-R,BBG000BCG930,ANTM US
US,11/30/2021,VWGLQ7-R,BBG000BFXHL6,MOS US
US,11/30/2021,VZYGFG-R,BBG000C30L48,MPWR US
US,11/30/2021,W6SXMV-R,BBG000C43RR5,EBAY US
US,11/30/2021,WPKF66-R,BBG000BCWCG1,BBY US
US,11/30/2021,XD67LR-R,BBG000PV27K3,EXR US
