fsym_id,SICS_sector,SICS_industry
KB2QBM-R,Technology & Communications,Software & IT Services
DTKPJP-R,Infrastructure,Real Estate
M0H6M5-R,Technology & Communications,Semiconductors
MXZ7RW-R,Technology & Communications,Software & IT Services
B81TLL-R,Technology & Communications,Semiconductors
GGPDYX-R,Financials,Security & Commodity Exchanges
F07Q7W-R,Consumer Goods,"Apparel, Accessories & Footwear"
BDQDB8-R,Consumer Goods,Multiline and Specialty Retailers & Distributors
PD98GG-R,Consumer Goods,Multiline and Specialty Retailers & Distributors
L6CPTK-R,Technology & Communications,Software & IT Services
LQBB5R-R,Technology & Communications,Software & IT Services
P8R3C2-R,Technology & Communications,Software & IT Services
MDYC2K-R,Services,Professional & Commercial Services
FQZF97-R,Technology & Communications,Software & IT Services
GC9695-R,Resource Transformation,Chemicals
TWTDGH-R,Food & Beverage,Restaurants
HQ87P5-R,Technology & Communications,Semiconductors
BK6JKQ-R,Health Care,Medical Equipment & Supplies
GGPVTB-R,Health Care,Managed Care
LC1BTF-R,Technology & Communications,Software & IT Services
TW6KKV-R,Health Care,Biotechnology & Pharmaceuticals
RJVBBR-R,Resource Transformation,Electrical & Electronic Equipment
RFQX93-R,Food & Beverage,Food Retailers & Distributors
XF814J-R,Financials,Asset Management & Custody Activities
J5XSLR-R,Resource Transformation,Containers & Packaging
WC5Y1H-R,Transportation,Rail Transportation
LTN487-R,Transportation,Rail Transportation
GCCR8P-R,Consumer Goods,Multiline and Specialty Retailers & Distributors
W3F6YL-R,Technology & Communications,Software & IT Services
TYPLZM-R,Infrastructure,Real Estate Services
QJKQYN-R,Financials,Insurance
RVBRQX-R,Infrastructure,Real Estate
LGH1W3-R,Consumer Goods,Household & Personal Products
MBP9GT-R,Technology & Communications,Software & IT Services
T2XF84-R,Food & Beverage,Processed Foods
JDV16T-R,Technology & Communications,Telecommunication Services
HCXCQ1-R,Consumer Goods,Building Products & Furnishings
SZJK3L-R,Financials,Security & Commodity Exchanges
WN8BRL-R,Extractives & Minerals Processing,Oil & Gas – Midstream
NDGZHY-R,Technology & Communications,Telecommunication Services
MR5BN1-R,Services,Professional & Commercial Services
D79MYG-R,Resource Transformation,Industrial Machinery & Goods
JS1YSB-R,Infrastructure,Waste Management
